"trait"	"comp"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"mean_abu1"	"mean_abu2"	"log_fold_diff"	"q"	"status"
"ko:K19420"	"human"	0.163737804343573	0.404519528838346	0.404771074498619	0.686160694137824	20604.9227909128	27695.9293173597	0.295743003486211	1	"other"
"ko:K19420"	"hdi_diff"	0.428329794226414	0.443604039967474	0.965567838962468	0.335648348731613	17104.2155031217	32771.1255200154	0.650194905183496	1	"other"
"ko:K19421"	"human"	-1.66671357824477	0.654918120551954	-2.54491901497563	0.0118307058026437	20758.2096330544	15110.3995695222	-0.317540588570241	1	"other"
"ko:K19421"	"hdi_diff"	-0.956811372200323	0.718196041014503	-1.33224261560779	0.184584829852071	26121.98718163	9834.01383872055	-0.976866802708515	1	"other"
"ko:K19422"	"human"	-0.0789021910497524	0.133985251483103	-0.588887136280837	0.556727957770961	193180.994951179	242848.107884342	0.228807571658417	1	"other"
"ko:K19422"	"hdi_diff"	0.547441157541543	0.146930851582482	3.7258421335306	0.00026558328812473	174096.84647529	275791.420642845	0.460031006400854	1	"other"
"ko:K19423"	"human"	-0.643845200013104	0.171274286478158	-3.75914688218661	0.00023500837034579	71639.6834775376	60777.7526718883	-0.164422852330397	1	"other"
"ko:K19423"	"hdi_diff"	0.635066697406433	0.187822737860005	3.38120242864197	0.000897633970764896	45570.8459786682	68064.3954623897	0.401178827923096	1	"other"
"ko:K19424"	"human"	-0.0740974416819653	0.0738363756911776	-1.00353573680105	0.317045670647002	382583.3457268	487271.234857504	0.241873830050826	1	"Human_EUR"
"ko:K19424"	"hdi_diff"	0.492016583400653	0.0809704160568519	6.07649815032681	7.98094359540412e-09	346288.5703149	554825.428284168	0.471379989532473	0.000101198364789724	"Human_EUR"
"ko:K19425"	"human"	0.442565681688682	0.243061078806195	1.8208002855182	0.0704164827164783	92731.6656758254	149840.452014997	0.479856957487468	1	"other"
"ko:K19425"	"hdi_diff"	0.199192146059366	0.266545540648963	0.747309992785432	0.455921141623426	140077.44730959	154518.558436338	0.0981180765424161	1	"other"
"ko:K19426"	"human"	-0.236627029137004	0.234769993032457	-1.00791002325536	0.314947135027042	114174.326740417	101266.384677493	-0.119970829051685	1	"other"
"ko:K19426"	"hdi_diff"	0.540683953861844	0.257453373564944	2.10012378697945	0.0372114272284537	80313.6685484262	111306.227822671	0.326341920072831	1	"other"
"ko:K19427"	"human"	-0.168012695598069	0.118165984890265	-1.42183637494406	0.156927568770016	258114.89030735	339703.432387108	0.274667251721955	1	"Human_EUR"
"ko:K19427"	"hdi_diff"	0.655535267428254	0.129583133933207	5.05880084491665	1.09688689253818e-06	224707.747543985	394805.531374437	0.563590742610791	0.0139085257973841	"Human_EUR"
"ko:K19428"	"human"	-0.407160088823779	0.0851089794021608	-4.7839850939799	3.74124069061368e-06	359027.982931966	326256.02881908	-0.0957176149527439	0.0474389319569815	"NHA"
"ko:K19428"	"hdi_diff"	0.441154881462725	0.0933321741195703	4.72671815077992	4.80266144055698e-06	249149.991910944	363202.671504228	0.376904649543918	0.0608977470662624	"NHA"
"ko:K19429"	"human"	0.329060772597087	0.116358727238877	2.8279853209596	0.00525405840399657	122999.595177385	181768.43573958	0.39054985316401	1	"other"
"ko:K19429"	"hdi_diff"	0.0667776297789549	0.127601259788045	0.523330489760661	0.601433877965982	171567.282688915	186656.488243023	0.0842939865705414	1	"other"
"ko:K19430"	"human"	0.226414374293683	0.126152358915482	1.79476924759983	0.0744882923942265	320947.38378718	298657.303166931	-0.0719801909043818	1	"other"
"ko:K19430"	"hdi_diff"	-0.327624116682989	0.138341148144415	-2.3682333208698	0.0190100160336022	366720.735035518	266043.575396567	-0.320939473880879	1	"other"
